p:batch_size,p:beta_kl,p:direct_gene_weight_param,p:drug_hiddens,p:epochs,p:eps_adam,p:inter_loss_penalty,p:learning_rate,p:num_hiddens_final,p:num_hiddens_genotype,objective,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:epoch,m:train_loss,m:test_loss
928,0.00011306449637786775,0.2190160979383945,"100,50,6",9,3.01132828801708e-05,0.4725659210377203,0.0016391725659628761,10,3,-0.0685673654,2,0.05575823783874512,3822.5890951156616,1715799340.5730891,1715803163.1013796,1,339.5556640625,0.0685673654
999,0.011562354911289595,0.45677163273328003,"100,50,6",14,7.933502911984689e-05,0.4444116189633832,0.0015233029764267765,5,3,-0.0758301765,1,0.055742740631103516,5561.811257123947,1715799340.5729878,1715804902.3246255,1,382.9667358398,0.0758301765
1203,0.0003376854617393326,0.19719222933308622,"100,50,6",37,1.6316709648759757e-05,0.4722368813473904,0.00010398618594425007,3,8,-0.1149695963,0,0.05572032928466797,12737.126175642014,1715799340.572992,1715812077.639719,1,991.0345458984,0.1149695963
1486,0.1232333328247388,0.48013738651601706,"100,50,6",35,6.735902123732953e-05,0.15748262674895083,0.004296351279882721,8,6,-0.0817220584,4,3822.6806089878082,13182.742911577225,1715803163.1966536,1715812523.256435,1,17.4180450439,0.0817220584
678,0.12656062823029599,0.16847568448297542,"100,50,6",29,9.977388029958984e-05,0.4167994087515169,0.0020972474451640094,4,3,-0.090903759,5,5561.889303922653,20954.74738764763,1715804902.405236,1715820295.2609515,1,38.3370399475,0.090903759
66,0.00035993005529695365,0.01078848089008161,"100,50,6",3,6.0731123021762616e-05,0.3598399627802059,0.0027306220316025568,9,9,-0.0228099432,6,12737.205080509186,26636.08638072014,1715812077.7214053,1715825976.6000204,1,5.2942485809,0.0228099432
304,0.14834999770963164,0.02324222585799091,"100,50,6",9,4.215405962660155e-05,0.36965425727661383,0.0005389919094343197,6,9,-0.1025509611,8,20955.051990509033,30562.518822431564,1715820295.5681624,1715829903.0332572,1,25.9114303589,0.1025509611
449,0.0021979896739706306,0.026395206799697486,"100,50,6",29,3.591788864037662e-05,0.33221793186631504,0.00555595436828074,6,4,-0.0132029625,7,13182.82130932808,34315.710460186005,1715812523.3374295,1715833656.2202113,1,27.1913127899,0.0132029625
1457,0.09505262009441535,0.04045706337144601,"100,50,6",6,6.935994865279465e-05,0.42153846211833057,0.0008043485862868757,8,8,-0.1143288612,11,34315.79709339142,35972.594937086105,1715833656.3144722,1715835313.109064,1,728.4235229492,0.1143288612
792,0.002326469420716419,0.2534374304932171,"100,50,6",28,2.4499183477390616e-05,0.2606660007532289,0.00881843051050534,5,3,-0.0162886679,9,26636.167655467987,39583.50881409645,1715825976.6843765,1715838924.0224688,1,21.0665855408,0.0162886679
274,0.36839657702610956,0.14900498278347993,"100,50,6",39,8.357564024434205e-05,0.27160409427022353,0.002457660776952956,7,4,-0.0437427089,3,0.05577278137207031,45995.52560710907,1715799340.5730038,1715845336.0394015,1,15.2614440918,0.0437427089
71,0.0002165669031537447,0.3530538511224969,"100,50,6",4,7.702233754174031e-05,0.17459081626303835,0.000712375321722534,10,9,-0.0262806825,10,30562.59794998169,48159.13410162926,1715829903.1144238,1715847499.647796,1,7.6084427834,0.0262806825
1551,0.0015257120259234667,0.043766377926629525,"100,50,6",29,2.9199821690107282e-05,0.3210146958060187,0.0073239560596877066,2,7,-0.052417215,14,45995.7659304142,53833.2133102417,1715845336.2826858,1715853173.727336,1,29.3657512665,0.052417215
1665,0.0016752631025487923,0.0340093029041127,"100,50,6",24,4.092607609622023e-06,0.19330533264607846,0.005632347965847704,6,5,-0.047903873,15,48159.64594531059,54176.6946747303,1715847500.1626418,1715853517.208436,1,19.2792568207,0.047903873
582,0.0014852312336296925,0.0697732249989609,"100,50,6",31,3.2073727006405885e-05,0.4462229297121366,0.007098290756114559,3,8,-0.014578375,13,39583.826677799225,58384.38525366783,1715838924.3433874,1715857724.898905,1,36.176574707,0.014578375
544,0.01665331172291219,0.1313033403935094,"100,50,6",15,1.904219510165682e-05,0.33066095780089033,0.007779000062098733,7,4,-0.0197720844,16,53833.469291210175,63508.50435614586,1715853173.985163,1715862849.0177472,1,28.4930992126,0.0197720844
199,0.0014850831230484758,0.305520011506912,"100,50,6",20,5.144585577646371e-05,0.4366586540300871,0.0017903530889260225,3,3,-0.0298723429,12,35972.67112851143,69193.92459440231,1715835313.1879206,1715868534.438005,1,26.0828399658,0.0298723429
490,0.004442166022094812,0.07378898272021885,"100,50,6",32,4.733398457622921e-05,0.40554429530281444,0.004061899214046229,5,5,-0.016002493,18,58384.644778966904,81031.09193015099,1715857725.1614366,1715880371.3029115,1,29.9028072357,0.016002493
362,0.0030675333326455035,0.20023701218623013,"100,50,6",37,4.9108302236953744e-05,0.38315993423801287,0.007159002591902229,6,8,-0.0168944634,17,54176.981060028076,89095.07495951653,1715853517.4976146,1715888435.5887115,1,23.4216308594,0.0168944634
378,0.000742551018899854,0.24367839197997143,"100,50,6",32,3.056496824131904e-05,0.40652801617670065,0.005436161504779046,6,7,-0.0128917899,19,63508.798577070236,93659.39486598969,1715862849.3154352,1715892999.908201,1,35.6115341187,0.0128917899
