GO:0051223,regulation of protein transport
GO:1903530,regulation of secretion by cell
GO:0030162,regulation of proteolysis
GO:0051282,regulation of sequestering of calcium ion
GO:0055082,intracellular chemical homeostasis
GO:0097305,response to alcohol
GO:0019637,organophosphate metabolic process
GO:0019216,regulation of lipid metabolic process
GO:0051050,positive regulation of transport
GO:0051128,regulation of cellular component organization
GO:0021766,hippocampus development
GO:0010817,regulation of hormone levels
GO:1901652,response to peptide
GO:0033500,carbohydrate homeostasis
GO:0022603,regulation of anatomical structure morphogenesis
GO:0022411,cellular component disassembly
GO:1901576,organic substance biosynthetic process
GO:0009746,response to hexose
GO:2000377,regulation of reactive oxygen species metabolic process
GO:0043467,regulation of generation of precursor metabolites and energy
GO:0033138,positive regulation of peptidyl-serine phosphorylation
GO:0046903,secretion
GO:0070988,demethylation
GO:0023057,negative regulation of signaling
GO:0060749,mammary gland alveolus development
GO:0043900,GO:0043900
GO:0030155,regulation of cell adhesion
GO:1905952,regulation of lipid localization
GO:0044282,small molecule catabolic process
GO:0032970,regulation of actin filament-based process
GO:0048771,tissue remodeling
GO:0051181,GO:0051181
GO:0051093,negative regulation of developmental process
GO:0009894,regulation of catabolic process
GO:1901605,alpha-amino acid metabolic process
GO:0051641,cellular localization
GO:0061061,muscle structure development
GO:0016236,macroautophagy
GO:0046677,response to antibiotic
GO:0050767,regulation of neurogenesis
GO:0097306,cellular response to alcohol
GO:0043902,GO:0043902
GO:0009968,negative regulation of signal transduction
GO:0051055,negative regulation of lipid biosynthetic process
GO:0050708,regulation of protein secretion
GO:0071333,cellular response to glucose stimulus
GO:0043434,response to peptide hormone
GO:0043903,regulation of biological process involved in symbiotic interaction
GO:0009914,hormone transport
GO:0045088,regulation of innate immune response
GO:0051209,release of sequestered calcium ion into cytosol
GO:0046395,carboxylic acid catabolic process
GO:0034645,GO:0034645
GO:0009117,nucleotide metabolic process
GO:0006482,protein demethylation
GO:0032940,secretion by cell
GO:0051224,negative regulation of protein transport
GO:0045862,positive regulation of proteolysis
GO:0031345,negative regulation of cell projection organization
GO:0007517,muscle organ development
GO:0008610,lipid biosynthetic process
GO:1901617,organic hydroxy compound biosynthetic process
GO:0006873,intracellular monoatomic ion homeostasis
GO:0051222,positive regulation of protein transport
GO:0045821,positive regulation of glycolytic process
GO:1905330,regulation of morphogenesis of an epithelium
GO:0032411,positive regulation of transporter activity
GO:0033043,regulation of organelle organization
GO:2000379,positive regulation of reactive oxygen species metabolic process
GO:0001558,regulation of cell growth
GO:0070723,response to cholesterol
GO:0046164,alcohol catabolic process
GO:0046890,regulation of lipid biosynthetic process
GO:0046888,negative regulation of hormone secretion
GO:0046949,fatty-acyl-CoA biosynthetic process
GO:0043647,inositol phosphate metabolic process
GO:1902904,negative regulation of supramolecular fiber organization
GO:0017157,regulation of exocytosis
GO:0045765,regulation of angiogenesis
GO:0009063,amino acid catabolic process
GO:2001234,negative regulation of apoptotic signaling pathway
GO:1902532,negative regulation of intracellular signal transduction
GO:0030308,negative regulation of cell growth
GO:0006874,intracellular calcium ion homeostasis
GO:0046676,negative regulation of insulin secretion
GO:0071375,cellular response to peptide hormone stimulus
GO:0048644,muscle organ morphogenesis
GO:0030307,positive regulation of cell growth
GO:0009260,ribonucleotide biosynthetic process
GO:0032869,cellular response to insulin stimulus
GO:0045766,positive regulation of angiogenesis
GO:0042304,regulation of fatty acid biosynthetic process
GO:0006261,DNA-templated DNA replication
GO:0006164,purine nucleotide biosynthetic process
GO:0045746,negative regulation of Notch signaling pathway
GO:2001240,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
GO:0046627,negative regulation of insulin receptor signaling pathway
GO:0045055,regulated exocytosis
GO:0061387,regulation of extent of cell growth
GO:0007519,skeletal muscle tissue development
GO:0016525,negative regulation of angiogenesis
GO:0046474,glycerophospholipid biosynthetic process
GO:2000300,regulation of synaptic vesicle exocytosis
GO:0050714,positive regulation of protein secretion
GO:0030514,negative regulation of BMP signaling pathway
GO:0046467,membrane lipid biosynthetic process
GO:0045070,positive regulation of viral genome replication
GO:0006694,steroid biosynthetic process
GO:0010823,negative regulation of mitochondrion organization
GO:1905332,positive regulation of morphogenesis of an epithelium
GO:0046058,cAMP metabolic process
GO:0010893,positive regulation of steroid biosynthetic process
GO:0033692,GO:0033692
GO:0006221,pyrimidine nucleotide biosynthetic process
GO:0009150,purine ribonucleotide metabolic process
GO:0034122,negative regulation of toll-like receptor signaling pathway
GO:0023061,signal release
GO:0050715,positive regulation of cytokine production
GO:0007204,positive regulation of cytosolic calcium ion concentration
GO:0008286,insulin receptor signaling pathway
GO:0045773,positive regulation of axon extension
GO:0009074,aromatic amino acid family catabolic process
GO:0006661,phosphatidylinositol biosynthetic process
GO:0006656,phosphatidylcholine biosynthetic process
GO:0006695,cholesterol biosynthetic process
GO:0060415,muscle tissue morphogenesis
GO:0090050,positive regulation of cell migration involved in sprouting angiogenesis
GO:0032469,endoplasmic reticulum calcium ion homeostasis
GO:0002576,platelet degranulation
GO:0043409,negative regulation of MAPK cascade
GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors
GO:0070303,negative regulation of stress-activated protein kinase signaling cascade
GO:0046879,hormone secretion
GO:1902230,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage
GO:0043303,mast cell degranulation
GO:1902254,negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator
GO:0009154,purine ribonucleotide catabolic process
GO:0060402,calcium ion transport into cytosol
GO:0008150,biological_process
