,source,target,imp_score_ov,imp_score_brca,source_full_name,target_full_name
0,GO:0007006,GO:0007005,0.00022139840819810188,0.0006699630463512591,mitochondrial membrane organization,mitochondrion organization
1,GO:0008637,GO:0007005,-0.00013757802485889632,-0.0006828057919869116,apoptotic mitochondrial changes,mitochondrion organization
2,GO:0006284,GO:0006281,0.00015840565889976637,9.400025454829674e-05,base-excision repair,DNA repair
3,GO:0006283,GO:0006281,0.0007644677182857086,-0.00020759071325067132,transcription-coupled nucleotide-excision repair,DNA repair
4,GO:0019985,GO:0006281,-0.0006037171981042756,-4.414442602585259e-05,translesion synthesis,DNA repair
5,GO:0000724,GO:0006281,5.302368792596595e-05,0.0007128745589143229,double-strand break repair via homologous recombination,DNA repair
6,GO:0006303,GO:0006281,0.0005278240718112281,-9.132521534269685e-05,double-strand break repair via nonhomologous end joining,DNA repair
7,GO:0045739,GO:0051054,-2.181981019446871e-05,-5.374692871679668e-05,positive regulation of DNA repair,positive regulation of DNA metabolic process
8,GO:0042759,GO:0001676,3.260354624727163e-05,-0.00022052844917506555,long-chain fatty acid biosynthetic process,long-chain fatty acid metabolic process
9,GO:0043651,GO:0001676,0.0007969304859878488,0.0006084062031259152,linoleic acid metabolic process,long-chain fatty acid metabolic process
10,GO:0019371,GO:0001676,0.000572781193503751,0.00019757833322738103,cyclooxygenase pathway,long-chain fatty acid metabolic process
11,GO:0019373,GO:0001676,-0.0006777228949335771,-0.00014178952730694498,epoxygenase P450 pathway,long-chain fatty acid metabolic process
12,GO:0006826,GO:0030001,-0.00024983212868394866,-0.00019243589150047714,iron ion transport,metal ion transport
13,GO:0097711,GO:0070925,-0.0004883088572460416,0.0010732679229811483,ciliary basal body-plasma membrane docking,organelle assembly
14,GO:0090307,GO:0070925,-0.00016583112326706931,0.0006099108108457892,mitotic spindle assembly,organelle assembly
15,GO:0006656,GO:1901566,0.0005193988965471975,0.0006689539289775139,phosphatidylcholine biosynthetic process,organonitrogen compound biosynthetic process
16,GO:0009309,GO:1901566,-0.0006530474055776849,0.0004600762249536764,amine biosynthetic process,organonitrogen compound biosynthetic process
17,GO:0033014,GO:1901566,-8.426720606750476e-05,0.00020825172277357478,tetrapyrrole biosynthetic process,organonitrogen compound biosynthetic process
18,GO:0042398,GO:1901566,-0.0003276039042118306,0.0005372508032433337,cellular modified amino acid biosynthetic process,organonitrogen compound biosynthetic process
19,GO:0042423,GO:1901566,0.0003841738835818912,-0.0007677330251466139,catecholamine biosynthetic process,organonitrogen compound biosynthetic process
20,GO:0043043,GO:1901566,0.0010819597759926943,-0.00171317623148322,peptide biosynthetic process,organonitrogen compound biosynthetic process
21,GO:0046112,GO:1901566,-0.00023910995511622918,-0.0016608255773593722,nucleobase biosynthetic process,organonitrogen compound biosynthetic process
22,GO:0072525,GO:1901566,-8.213809239497441e-05,8.245270510619318e-05,pyridine-containing compound biosynthetic process,organonitrogen compound biosynthetic process
23,GO:1901687,GO:1901566,9.273544612418122e-05,0.00042842107324046725,glutathione derivative biosynthetic process,organonitrogen compound biosynthetic process
24,GO:0046513,GO:1901566,-0.00015832305946638826,-0.00018147544219019565,ceramide biosynthetic process,organonitrogen compound biosynthetic process
25,GO:0006497,GO:1901566,0.00020579036725569587,0.001186063669645014,protein lipidation,organonitrogen compound biosynthetic process
26,GO:0043043,GO:0043604,-0.001574695741377018,0.0016395516948897906,peptide biosynthetic process,amide biosynthetic process
27,GO:0046513,GO:0043604,-0.0009720088723245399,0.0007142260298284312,ceramide biosynthetic process,amide biosynthetic process
28,GO:0009066,GO:1901605,0.001061237035424962,-0.0013940505378444658,aspartate family amino acid metabolic process,alpha-amino acid metabolic process
29,GO:1901607,GO:1901605,-0.0007203195426152877,-0.001081405269378448,alpha-amino acid biosynthetic process,alpha-amino acid metabolic process
30,GO:0009065,GO:1901605,-0.0006551396542218525,0.0005815950450883388,glutamine family amino acid catabolic process,alpha-amino acid metabolic process
31,GO:0006536,GO:1901605,0.0005387678512157624,0.0002615007140782347,glutamate metabolic process,alpha-amino acid metabolic process
32,GO:0006541,GO:1901605,0.0011639427142148048,-0.0030102582115312344,glutamine metabolic process,alpha-amino acid metabolic process
33,GO:0006658,GO:0006575,0.0007730013551476122,-0.00013906513730938618,phosphatidylserine metabolic process,cellular modified amino acid metabolic process
34,GO:0006749,GO:0006575,-0.0004342956719565669,0.002066541705774366,glutathione metabolic process,cellular modified amino acid metabolic process
